word,prob,freq,plural
arose,42.43529616119507,,
arise,41.31318394997395,28915.0,
raise,41.31318394997395,190353.0,
aloes,41.309709918360255,,Plural
stoae,41.30623588674657,,
reals,41.29233976029182,,Plural
earls,41.29233976029182,,Plural
laser,41.29233976029182,14523.0,
rates,41.28886572867813,,Plural
tears,41.28886572867813,,Plural
stare,41.28886572867813,66392.0,
tares,41.28886572867813,,Plural
aster,41.28886572867813,,
earns,40.246656244571824,,Plural
saner,40.246656244571824,,
nares,40.246656244571824,,Plural
nears,40.246656244571824,,Plural
snare,40.246656244571824,,
aisle,40.18759770713913,12675.0,
stale,40.16327948584332,,
teals,40.16327948584332,,Plural
steal,40.16327948584332,68807.0,
stela,40.16327948584332,,
slate,40.16327948584332,,
least,40.16327948584332,311569.0,
tesla,40.16327948584332,,
taels,40.16327948584332,,Plural
tales,40.16327948584332,,Plural
reads,39.88535695674831,,Plural
dares,39.88535695674831,,Plural
dears,39.88535695674831,,Plural
osier,39.80892826124718,,
roles,39.78808407156505,,Plural
loser,39.78808407156505,17479.0,
lores,39.78808407156505,,Plural
store,39.78461003995137,127984.0,
ureas,39.56574604828904,,Plural
anise,39.14191419141915,,
scare,39.13149209657808,24484.0,
races,39.13149209657808,,Plural
cares,39.13149209657808,,Plural
acres,39.13149209657808,,Plural
elans,39.12107000173701,,Plural
leans,39.12107000173701,,Plural
lanes,39.12107000173701,,Plural
nates,39.117595970123325,,Plural
antes,39.117595970123325,,Plural
reaps,39.10022581205489,,Plural
spear,39.10022581205489,,
pares,39.10022581205489,,Plural
apers,39.10022581205489,,Plural
pears,39.10022581205489,,Plural
parse,39.10022581205489,,
rapes,39.10022581205489,,Plural
spare,39.10022581205489,13687.0,
resay,38.86051763071044,,
sayer,38.86051763071044,,
years,38.86051763071044,,Plural
aides,38.78061490359562,,Plural
aside,38.78061490359562,40119.0,
ideas,38.78061490359562,,Plural
leads,38.7597707139135,,Plural
dales,38.7597707139135,,Plural
deals,38.7597707139135,,Plural
lased,38.7597707139135,,
lades,38.7597707139135,,Plural
dates,38.756296682299805,,Plural
stead,38.756296682299805,,
sated,38.756296682299805,,
snore,38.74240055584506,,
smear,38.71113427132187,,
maser,38.71113427132187,,
mares,38.71113427132187,,Plural
reams,38.71113427132187,,Plural
riles,38.66597186034393,,Plural
liers,38.66597186034393,,Plural
slier,38.66597186034393,,
tries,38.662497828730245,,Plural
tiers,38.662497828730245,,Plural
rites,38.662497828730245,,Plural
tires,38.662497828730245,,Plural
stole,38.65902379711656,,
hears,38.61038735452493,,Plural
share,38.61038735452493,168892.0,
shear,38.61038735452493,,
rheas,38.61038735452493,,Plural
hares,38.61038735452493,,Plural
saute,38.43668577384054,,
doers,38.38110126802154,,Plural
doser,38.38110126802154,,
bares,38.26645822476984,,Plural
saber,38.26645822476984,,
sabre,38.26645822476984,,
bears,38.26645822476984,,Plural
braes,38.26645822476984,,Plural
baser,38.26645822476984,,
sager,38.14139308667709,,
rages,38.14139308667709,,Plural
gears,38.14139308667709,,Plural
sarge,38.14139308667709,,
rouse,38.06149035956227,,
laces,38.00590585374327,,Plural
scale,38.00590585374327,68139.0,
caste,38.00243182212958,,
sepia,37.9954837589022,,
leaps,37.97463956922008,,Plural
lapse,37.97463956922008,,
pales,37.97463956922008,,Plural
peals,37.97463956922008,,Plural
sepal,37.97463956922008,,
pleas,37.97463956922008,,Plural
peats,37.97116553760639,,Plural
paste,37.97116553760639,,
pates,37.97116553760639,,Plural
tapes,37.97116553760639,,Plural
spate,37.97116553760639,,
septa,37.97116553760639,,
rakes,37.85304846274101,,Plural
asker,37.85304846274101,,
fears,37.73145735626194,,Plural
safer,37.73145735626194,,
yeast,37.73145735626194,,
fares,37.73145735626194,,Plural
sedan,37.71408719819351,,
deans,37.71408719819351,,Plural
noise,37.637658502692375,41144.0,
score,37.62723640785131,82738.0,
cores,37.62723640785131,,Plural
siren,37.62028834462394,,
resin,37.62028834462394,,
reins,37.62028834462394,,Plural
rinse,37.62028834462394,,
risen,37.62028834462394,,
noels,37.61681431301025,,Plural
stone,37.61334028139656,67456.0,
steno,37.61334028139656,,
onset,37.61334028139656,,
tones,37.61334028139656,,Plural
notes,37.61334028139656,,Plural
pores,37.59597012332812,,Plural
prose,37.59597012332812,,
nerts,37.59597012332812,,Plural
poser,37.59597012332812,,
rents,37.59597012332812,,Plural
ropes,37.59597012332812,,Plural
terns,37.59597012332812,,Plural
spore,37.59597012332812,,
stern,37.59597012332812,,
meals,37.585548028487054,,Plural
lames,37.585548028487054,,Plural
males,37.585548028487054,,Plural
teams,37.58207399687337,,Plural
tames,37.58207399687337,,Plural
steam,37.58207399687337,14454.0,
meats,37.58207399687337,,Plural
mates,37.58207399687337,,Plural
stile,37.53691158589543,,
wears,37.53691158589543,,Plural
lites,37.53691158589543,,Plural
sawer,37.53691158589543,,
liest,37.53691158589543,,
sware,37.53691158589543,,
islet,37.53691158589543,,
wares,37.53691158589543,,Plural
tiles,37.53691158589543,,Plural
resaw,37.53691158589543,,
swear,37.53691158589543,32971.0,
solar,37.49174917491749,35987.0,
orals,37.49174917491749,,Plural
roast,37.4882751433038,,
astro,37.4882751433038,,
sorta,37.4882751433038,,
taros,37.4882751433038,,Plural
selah,37.48480111169011,,
hales,37.48480111169011,,Plural
shale,37.48480111169011,,
leash,37.48480111169011,,
heals,37.48480111169011,,Plural
heats,37.481327080076426,,Plural
hates,37.481327080076426,,Plural
haste,37.481327080076426,,
